tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
37,77012,Duke Verduin,1394059,PEC Zwolle,2971,8.2,0,0,,0.0,0,0,0,0,24,60.0,0,6,27.27,0,0.0,0,0,0,16,90,1,0,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Joey Veerman,850816,PSV Eindhoven,2952,7.89,8,14,2.34,9.69,14,34,27,1,1691,86.23,95,126,58.6,13,54.17,58,26,54,459,2370,30,4,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Mika Godts,1149146,AFC Ajax,2953,7.78,17,12,10.93,9.27,39,80,14,8,911,79.98,78,52,68.42,85,46.7,27,12,7,543,2686,32,2,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Nick Olij,227192,PSV Eindhoven,2952,7.7,0,0,,0.0,0,0,0,0,45,95.74,0,5,71.43,0,0.0,0,0,2,2,90,1,0,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Daan Reiziger,916942,SC Telstar,2972,7.7,0,0,,0.01,0,0,0,0,26,56.52,0,16,47.06,0,0.0,0,0,1,20,101,2,0,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Shaqueel van Persie,1470002,Feyenoord,2959,7.55,2,0,0.37,0.6,2,2,0,0,11,64.71,0,0,0.0,1,100.0,1,0,2,10,37,3,1,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Ronald Koeman Jr,268701,SC Telstar,2972,7.53,1,0,0.79,0.21,1,1,0,0,919,66.21,0,380,45.51,2,100.0,1,0,23,483,2959,33,3,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Joël Drommel,610396,Sparta Rotterdam,2960,7.46,0,0,0.03,0.37,0,1,1,0,967,66.05,2,409,45.49,0,0.0,0,0,26,508,3060,34,1,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Anis Hadj Moussa,1218066,Feyenoord,2959,7.45,11,6,6.78,11.14,32,77,16,4,602,73.96,71,28,44.44,77,50.33,25,8,10,583,2553,30,4,1,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Victor Jensen,856648,FC Utrecht,2948,7.44,5,0,2.47,0.81,8,14,0,1,124,82.67,7,7,77.78,3,75.0,14,4,2,43,547,8,1,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
37,77012,Jari De Busser,837072,Go Ahead Eagles,2979,7.4,0,0,,0.12,0,0,0,0,793,59.98,2,237,31.31,1,100.0,0,1,36,535,3060,34,0,0,NED,2025-2026,datafc_sofascore,2026-08-10 21:32:27
