league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_scraped_at
ESP-La Liga,2324,Atlético Madrid,Ángel Correa,ARG,"FW,MF",28,1995,32,14,1528,17.0,9,2,11,9,0,0,3,0,0.53,0.12,0.65,0.53,0.65,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Atlético Madrid,Çağlar Söyüncü,TUR,DF,27,1996,6,1,114,1.3,0,0,0,0,0,0,0,1,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Abde Ezzalzouli,MAR,"FW,MF",21,2001,2,0,68,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Alejandro Balde,ESP,"DF,MF",19,2003,18,15,1378,15.3,0,1,1,0,0,0,1,0,0.0,0.07,0.07,0.0,0.07,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Andreas Christensen,DEN,"DF,MF",27,1996,30,27,1979,22.0,2,2,4,2,0,0,4,0,0.09,0.09,0.18,0.09,0.18,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Ansu Fati,ESP,"FW,MF",20,2002,3,0,50,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Eric García,ESP,"DF,MF",22,2001,2,0,57,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Fermin López,ESP,"MF,FW",20,2003,31,14,1446,16.1,8,0,8,8,0,0,2,0,0.5,0.0,0.5,0.5,0.5,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Ferran Torres,ESP,FW,23,2000,29,12,1211,13.5,7,2,9,7,0,0,2,0,0.52,0.15,0.67,0.52,0.67,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Frenkie de Jong,NED,MF,26,1997,20,20,1634,18.2,2,0,2,2,0,0,7,0,0.11,0.0,0.11,0.11,0.11,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Gavi,ESP,"MF,FW",18,2004,12,10,944,10.5,1,1,2,1,0,0,5,0,0.1,0.1,0.19,0.1,0.19,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Héctor Fort,ESP,DF,16,2006,7,4,318,3.5,0,2,2,0,0,0,0,0,0.0,0.57,0.57,0.0,0.57,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Iñaki Peña,ESP,GK,24,1999,10,10,900,10.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Iñigo Martínez,ESP,DF,32,1991,20,13,1296,14.4,0,0,0,0,0,0,5,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,João Cancelo,POR,DF,29,1994,32,29,2503,27.8,2,4,6,2,0,0,7,0,0.07,0.14,0.22,0.07,0.22,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,João Félix,POR,FW,23,1999,30,18,1540,17.1,7,3,10,7,0,0,3,0,0.41,0.18,0.58,0.41,0.58,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Jules Koundé,FRA,DF,24,1998,35,32,2899,32.2,1,2,3,1,0,0,4,0,0.03,0.06,0.09,0.03,0.09,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Lamine Yamal,ESP,"FW,MF",16,2007,37,22,2201,24.5,5,5,10,5,0,0,3,0,0.2,0.2,0.41,0.2,0.41,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Marc Casado,ESP,MF,19,2003,2,0,15,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Marc Guiu,ESP,FW,17,2006,3,1,74,0.8,1,0,1,1,0,0,1,0,1.22,0.0,1.22,1.22,1.22,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Marc-André ter Stegen,GER,GK,31,1992,28,28,2520,28.0,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Marcos Alonso,ESP,DF,32,1990,5,3,252,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Oriol Romeu,ESP,MF,31,1991,28,11,936,10.4,0,1,1,0,0,0,4,0,0.0,0.1,0.1,0.0,0.1,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Pau Cubarsí,ESP,DF,16,2007,19,18,1558,17.3,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Pedri,ESP,"MF,FW",20,2002,24,16,1476,16.4,4,2,6,4,0,0,3,0,0.24,0.12,0.37,0.24,0.37,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Raphinha,BRA,"FW,MF",26,1996,28,17,1368,15.2,6,9,15,5,1,1,4,1,0.39,0.59,0.99,0.33,0.92,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Robert Lewandowski,POL,FW,34,1988,35,32,2750,30.6,19,8,27,15,4,4,5,0,0.62,0.26,0.88,0.49,0.75,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Ronald Araújo,URU,DF,24,1999,25,21,1997,22.2,1,2,3,1,0,0,6,0,0.05,0.09,0.14,0.05,0.14,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Sergi Roberto,ESP,"MF,DF",31,1992,14,10,860,9.6,3,2,5,3,0,0,4,0,0.31,0.21,0.52,0.31,0.52,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,Vitor Roque,BRA,FW,18,2005,14,2,328,3.6,2,0,2,2,0,0,4,1,0.55,0.0,0.55,0.55,0.55,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Barcelona,İlkay Gündoğan,GER,MF,32,1990,36,33,2994,33.3,5,9,14,4,1,2,5,0,0.15,0.27,0.42,0.12,0.39,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Anastasios Douvikas,GRE,FW,23,1999,32,7,905,10.1,7,1,8,7,0,0,2,0,0.7,0.1,0.8,0.7,0.8,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Carl Starfelt,SWE,DF,28,1995,27,26,2216,24.6,1,0,1,1,0,0,4,0,0.04,0.0,0.04,0.04,0.04,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Carles Pérez,ESP,MF,25,1998,16,7,772,8.6,1,1,2,1,0,0,3,0,0.12,0.12,0.23,0.12,0.23,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Carlos Dominguez,ESP,DF,22,2001,22,18,1584,17.6,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Carlos Dotor,ESP,MF,22,2001,17,7,708,7.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Damián Rodríguez,ESP,MF,20,2003,5,3,258,2.9,0,2,2,0,0,0,1,0,0.0,0.7,0.7,0.0,0.7,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Fran Beltrán,ESP,MF,24,1999,33,28,2428,27.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Franco Cervi,ARG,"MF,DF",29,1994,17,5,546,6.1,0,1,1,0,0,0,2,0,0.0,0.16,0.16,0.0,0.16,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Gabriel Veiga,ESP,MF,21,2002,1,0,18,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Hugo Sotelo,ESP,MF,19,2003,17,8,721,8.0,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Hugo Álvarez,ESP,"MF,FW",20,2003,12,8,762,8.5,1,1,2,1,0,0,1,0,0.12,0.12,0.24,0.12,0.24,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Iago Aspas,ESP,FW,35,1987,35,31,2707,30.1,9,10,19,6,3,5,6,1,0.3,0.33,0.63,0.2,0.53,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Iván Villar,ESP,GK,26,1997,12,12,1014,11.3,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Jailson Siqueira,BRA,"DF,MF",27,1995,14,9,897,10.0,0,1,1,0,0,0,1,0,0.0,0.1,0.1,0.0,0.1,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Javi Rueda,ESP,"DF,MF",21,2002,1,0,20,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Javier Manquillo,ESP,"DF,MF",29,1994,12,10,744,8.3,0,1,1,0,0,0,3,0,0.0,0.12,0.12,0.0,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Jonathan Bamba,CIV,"MF,FW",27,1996,27,24,1981,22.0,3,2,5,3,0,0,0,0,0.14,0.09,0.23,0.14,0.23,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Joseph Aidoo,GHA,DF,27,1995,6,4,407,4.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Jørgen Strand Larsen,NOR,FW,23,2000,37,36,2863,31.8,13,3,16,13,0,0,5,0,0.41,0.09,0.5,0.41,0.5,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Kevin Vázquez,ESP,DF,30,1993,12,10,700,7.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Luca de la Torre,USA,MF,25,1998,31,22,1956,21.7,1,4,5,1,0,0,4,1,0.05,0.18,0.23,0.05,0.23,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Manu Sánchez,ESP,"DF,MF",22,2000,26,20,1775,19.7,0,5,5,0,0,0,3,0,0.0,0.25,0.25,0.0,0.25,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Miguel Rodríguez,ESP,MF,20,2003,15,2,300,3.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Mihailo Ristić,SRB,"DF,MF",27,1995,12,9,808,9.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Renato Tapia,PER,"MF,DF",28,1995,21,15,1337,14.9,0,0,0,0,0,0,5,1,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Tadeo Allende,ARG,MF,24,1999,10,2,336,3.7,1,0,1,1,0,0,1,0,0.27,0.0,0.27,0.27,0.27,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Unai Núñez,ESP,DF,26,1997,34,31,2801,31.1,1,0,1,1,0,0,4,0,0.03,0.0,0.03,0.03,0.03,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Vicente Guaita,ESP,GK,36,1987,27,26,2403,26.7,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Williot Swedberg,SWE,FW,19,2004,15,4,439,4.9,5,0,5,5,0,0,1,0,1.03,0.0,1.03,1.03,1.03,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Yoel Lago,ESP,DF,19,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Celta Vigo,Óscar Mingueza,ESP,"DF,MF",24,1999,38,33,2998,33.3,2,2,4,2,0,0,4,0,0.06,0.06,0.12,0.06,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Aiham Ousou,SYR,DF,23,2000,6,5,430,4.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Borja Vázquez,ESP,FW,18,2005,1,0,4,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Brian Ocampo,URU,MF,24,1999,13,1,248,2.8,1,0,1,1,0,0,2,0,0.36,0.0,0.36,0.36,0.36,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Chris Ramos,ESP,FW,26,1997,37,30,2612,29.0,5,1,6,5,0,0,5,0,0.17,0.03,0.21,0.17,0.21,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Darwin Machís,VEN,MF,30,1993,21,10,785,8.7,4,0,4,3,1,1,0,1,0.46,0.0,0.46,0.34,0.34,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,David Gil,ESP,GK,29,1994,5,4,372,4.1,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Diadie Samassékou,MLI,MF,27,1996,4,0,92,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Fali,ESP,DF,29,1993,30,30,2547,28.3,0,0,0,0,0,0,12,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Fede San Emeterio,ESP,MF,26,1997,4,3,152,1.7,1,0,1,1,0,0,1,1,0.59,0.0,0.59,0.59,0.59,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Gonzalo Escalante,ARG,MF,30,1993,25,18,1697,18.9,1,2,3,1,0,0,2,1,0.05,0.11,0.16,0.05,0.16,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Isaac Carcelen,ESP,DF,30,1993,35,29,2611,29.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Iván Alejo,ESP,MF,28,1995,30,21,1692,18.8,0,2,2,0,0,0,17,0,0.0,0.11,0.11,0.0,0.11,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Javi Hernández,ESP,DF,25,1998,30,28,2514,27.9,1,2,3,1,0,0,10,0,0.04,0.07,0.11,0.04,0.11,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Jeremías Ledesma,ARG,GK,30,1993,34,34,3048,33.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Jorge Meré,ESP,DF,26,1997,10,8,673,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Joseba Zaldúa,ESP,"DF,MF",31,1992,13,9,704,7.8,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,José Mari,ESP,MF,35,1987,3,0,14,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Juanmi,ESP,FW,30,1993,16,9,873,9.7,3,1,4,3,0,0,3,0,0.31,0.1,0.41,0.31,0.41,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Karl Etta Eyong,CMR,FW,19,2003,1,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Lucas,BRA,DF,22,2001,28,15,1539,17.1,1,0,1,1,0,0,6,0,0.06,0.0,0.06,0.06,0.06,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Luis Hernández,ESP,DF,34,1989,9,8,723,8.0,1,0,1,1,0,0,4,0,0.12,0.0,0.12,0.12,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Mamadou Mbaye,SEN,DF,25,1998,4,2,288,3.2,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Maxi Gómez,URU,FW,26,1996,31,12,1163,12.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Milutin Osmajić,MNE,FW,24,1999,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Moussa Diakité,MLI,MF,19,2003,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Roberto Navarro,ESP,MF,21,2002,28,24,1888,21.0,1,1,2,1,0,0,0,1,0.05,0.05,0.1,0.05,0.1,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Roger Martí,ESP,FW,32,1991,23,18,1359,15.1,2,3,5,2,0,0,3,0,0.13,0.2,0.33,0.13,0.33,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Rominigue Kouamé,MLI,MF,26,1996,16,9,821,9.1,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Rubén Alcaraz,ESP,MF,32,1991,36,36,3134,34.8,3,1,4,1,2,2,14,0,0.09,0.03,0.11,0.03,0.06,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Rubén Sobrino,ESP,"MF,FW",31,1992,32,18,1646,18.3,0,1,1,0,0,0,8,1,0.0,0.05,0.05,0.0,0.05,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Sergi Guardiola,ESP,FW,32,1991,22,1,495,5.5,1,1,2,1,0,0,1,0,0.18,0.18,0.36,0.18,0.36,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Víctor Chust,ESP,DF,23,2000,22,22,1864,20.7,0,1,1,0,0,0,3,2,0.0,0.05,0.05,0.0,0.05,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Álex Fernández,ESP,MF,30,1992,26,14,1285,14.3,0,1,1,0,0,0,3,0,0.0,0.07,0.07,0.0,0.07,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Cádiz,Álvaro Negredo,ESP,FW,37,1985,7,0,54,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Alberto Risco,ESP,MF,17,2005,4,1,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Anthony Lozano,HON,FW,30,1993,6,0,92,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Borja Mayoral,ESP,FW,26,1997,27,25,2153,23.9,15,1,16,11,4,4,2,0,0.63,0.04,0.67,0.46,0.5,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Carles Aleñá,ESP,MF,25,1998,29,10,1020,11.3,1,1,2,1,0,0,6,0,0.09,0.09,0.18,0.09,0.18,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Carmona,ESP,"MF,DF",21,2002,30,15,1313,14.6,1,1,2,1,0,0,8,0,0.07,0.07,0.14,0.07,0.14,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Damián Suárez,URU,DF,35,1988,16,15,1299,14.4,0,2,2,0,0,0,7,1,0.0,0.14,0.14,0.0,0.14,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Daniel Fuzato,BRA,GK,26,1997,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,David Soria,ESP,GK,30,1993,38,38,3413,37.9,0,0,0,0,0,0,3,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Diego Rico,ESP,DF,30,1993,32,28,2535,28.2,0,7,7,0,0,0,10,0,0.0,0.25,0.25,0.0,0.25,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Djené,TOG,"DF,MF",31,1991,33,30,2484,27.6,0,0,0,0,0,0,14,1,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Domingos Duarte,POR,DF,28,1995,15,11,907,10.1,0,0,0,0,0,0,5,2,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Enes Ünal,TUR,FW,26,1997,3,1,140,1.6,0,1,1,0,0,0,0,0,0.0,0.64,0.64,0.0,0.64,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Fabrizio Angileri,ARG,DF,29,1994,11,2,164,1.8,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Gastón Álvarez,URU,DF,23,2000,34,29,2537,28.2,2,0,2,2,0,0,7,0,0.07,0.0,0.07,0.07,0.07,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Gorka Rivera Alonso,ESP,DF,18,2004,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Iglesias,ESP,"DF,MF",25,1998,23,16,1412,15.7,0,2,2,0,0,0,4,0,0.0,0.13,0.13,0.0,0.13,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Ilaix Moriba,GUI,MF,20,2003,14,8,605,6.7,0,2,2,0,0,0,5,1,0.0,0.3,0.3,0.0,0.3,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Jaime Mata,ESP,"FW,MF",34,1988,35,22,1787,19.9,5,1,6,5,0,0,10,1,0.25,0.05,0.3,0.25,0.3,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Jeremy Jorge,ESP,FW,20,2003,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Jordi,ESP,MF,22,2001,13,5,573,6.4,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Juanmi Latasa,ESP,FW,22,2001,32,15,1555,17.3,2,0,2,2,0,0,7,1,0.12,0.0,0.12,0.12,0.12,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Luis Milla,ESP,MF,28,1994,27,25,2115,23.5,0,1,1,0,0,0,6,0,0.0,0.04,0.04,0.0,0.04,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
ESP-La Liga,2324,Getafe,Mason Greenwood,ENG,"MF,FW",21,2001,33,30,2662,29.6,8,6,14,6,2,3,6,1,0.27,0.2,0.47,0.2,0.41,ESP,2023-2024,standard,2026-08-06T22:51:04.614551
