tournament_id,season_id,player_name,player_id,team_name,team_id,rating,goals,assists,expectedGoals,expectedAssists,shotsOnTarget,totalShots,bigChancesCreated,bigChancesMissed,accuratePasses,accuratePassesPercentage,keyPasses,accurateLongBalls,accurateLongBallsPercentage,successfulDribbles,successfulDribblesPercentage,tackles,interceptions,clearances,possessionLost,minutesPlayed,appearances,yellowCards,redCards,_league_id,_season,_source,_scraped_at
35,42268,Tjark Ernst,1019319,Hertha BSC,2528,7.8,0,0,0.0,0.0,0,0,0,0,20,68.97,0,7,43.75,0,0.0,0,0,2,10,90,1,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Joshua Kimmich,259117,FC Bayern München,2672,7.73,5,6,2.24,8.95,12,28,11,0,2233,89.68,89,160,72.73,13,61.9,78,41,35,495,2815,33,4,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jonas Hofmann,142390,Borussia M'gladbach,2527,7.47,12,9,7.35,10.94,24,45,14,6,1049,80.94,100,45,44.12,14,46.67,31,16,13,486,2684,31,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Dominik Szoboszlai,869856,RB Leipzig,36360,7.42,6,8,5.6,8.56,29,59,14,3,1162,83.0,72,79,76.7,53,56.38,45,17,23,448,2454,31,3,2,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Vincenzo Grifo,171961,SC Freiburg,2538,7.41,15,5,10.29,6.2,33,66,10,3,928,78.78,56,77,52.38,42,66.67,29,19,12,457,2428,33,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Levin Öztunalı,229776,1. FC Union Berlin,2547,7.4,0,1,0.0,0.11,0,0,1,0,1,100.0,1,0,0.0,0,0.0,0,0,0,0,15,2,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Julien Duranville,1171540,Borussia Dortmund,2673,7.4,0,0,0.02,0.48,0,1,0,0,7,77.78,2,0,0.0,3,100.0,1,0,0,7,28,1,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jude Bellingham,991011,Borussia Dortmund,2673,7.4,8,4,8.2,4.91,25,67,8,9,1319,83.06,35,115,69.28,86,67.19,76,35,28,471,2693,31,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Benjamin Pavard,787505,FC Bayern München,2672,7.36,4,1,2.52,3.9,12,34,4,2,2006,89.87,19,97,60.25,0,0.0,70,44,76,295,2432,30,6,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Raphaël Guerreiro,246999,Borussia Dortmund,2673,7.36,4,12,2.71,7.77,15,33,12,2,1304,85.12,58,40,47.62,27,58.7,36,36,22,382,2296,27,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Clinton Mola,972561,VfB Stuttgart,2677,7.3,0,0,0.03,0.0,0,0,0,0,1,50.0,0,0,0.0,0,0.0,3,1,1,3,14,1,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Diant Ramaj,981562,Eintracht Frankfurt,2674,7.3,0,0,0.0,0.0,0,0,0,0,14,77.78,0,2,33.33,0,0.0,0,0,2,4,90,1,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Niclas Füllkrug,132645,SV Werder Bremen,2534,7.3,16,5,12.81,3.42,37,79,5,12,577,63.83,34,43,63.24,31,58.49,9,1,24,496,2479,28,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Marvin Ducksch,258325,SV Werder Bremen,2534,7.28,12,6,11.3,6.01,44,95,5,9,536,69.07,52,37,50.0,15,42.86,8,9,38,474,2863,34,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Maximilian Arnold,147289,VfL Wolfsburg,2524,7.27,5,3,5.15,4.85,15,35,8,2,1220,83.22,43,167,57.59,8,61.54,62,26,62,418,2775,32,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Kingsley Coman,280441,FC Bayern München,2672,7.27,8,5,4.63,6.52,18,49,8,4,607,84.66,42,18,62.07,47,58.75,11,2,6,273,1419,24,0,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Nico Schlotterbeck,940871,Borussia Dortmund,2673,7.27,4,5,1.61,1.3,6,18,5,2,1639,86.81,14,148,56.27,11,73.33,59,32,68,289,2255,28,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Konstantinos Mavropanos,829022,VfB Stuttgart,2677,7.26,2,1,4.04,0.94,13,48,2,4,1162,83.48,15,160,67.8,16,50.0,50,62,97,312,2295,28,7,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Florian Kainz,78781,1. FC Köln,2671,7.23,6,10,5.97,8.75,22,54,17,0,666,72.63,72,53,41.73,33,48.53,21,32,23,562,2371,32,4,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Christopher Nkunku,769333,RB Leipzig,36360,7.23,16,4,14.59,4.6,30,74,8,17,487,81.85,39,31,75.61,38,58.46,6,8,10,236,1898,25,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Borna Sosa,357584,VfB Stuttgart,2677,7.23,2,7,1.04,8.18,6,15,7,1,843,82.16,68,45,50.56,17,56.67,27,19,34,433,1956,25,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Julian Brandt,226978,Borussia Dortmund,2673,7.22,9,8,5.15,7.82,26,42,11,3,992,83.78,74,59,80.82,41,53.95,29,15,9,442,2410,32,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Florian Wirtz,1019322,Bayer 04 Leverkusen,2681,7.21,1,6,0.75,3.08,4,7,9,0,454,78.55,40,26,59.09,48,58.54,18,1,6,266,1091,17,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Thomas Müller,35166,FC Bayern München,2672,7.19,7,8,8.97,7.07,23,47,15,9,600,77.42,39,14,36.84,8,47.06,21,4,14,288,1675,27,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ellyes Skhiri,591706,1. FC Köln,2671,7.17,7,1,5.31,1.83,13,32,3,3,1492,88.39,27,68,70.1,24,75.0,78,56,42,268,2857,32,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Moussa Diaby,855817,Bayer 04 Leverkusen,2681,7.15,9,8,11.06,7.05,35,80,14,7,691,79.24,58,27,71.05,51,53.13,14,5,2,423,2714,33,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ørjan Nyland,22209,RB Leipzig,36360,7.15,0,1,0.0,0.03,0,0,1,0,66,74.16,1,17,43.59,0,0.0,0,0,0,24,180,2,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Willi Orbán,136924,RB Leipzig,36360,7.14,4,0,3.03,0.58,10,27,0,3,2342,89.12,6,140,54.47,8,57.14,51,38,128,320,2951,33,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Saša Kalajdžić,870038,VfB Stuttgart,2677,7.13,0,3,0.5,0.26,1,5,1,0,40,63.49,6,4,80.0,0,0.0,3,0,0,32,235,3,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ralf Fährmann,14113,FC Schalke 04,2530,7.13,0,0,0.0,0.08,0,0,0,0,256,65.47,0,112,46.28,0,0.0,1,0,16,138,1026,12,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Eric Maxim Choupo-Moting,21626,FC Bayern München,2672,7.13,10,2,6.11,2.07,17,31,3,5,222,77.62,17,6,66.67,20,76.92,10,0,5,122,1117,19,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Mats Hummels,16632,Borussia Dortmund,2673,7.13,1,0,2.18,1.42,3,17,1,3,1458,87.73,12,150,63.83,6,60.0,62,33,95,226,2037,30,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Sheraldo Becker,352544,1. FC Union Berlin,2547,7.13,11,7,6.49,5.65,26,67,8,2,344,68.94,45,21,75.0,26,48.15,15,3,7,392,2580,34,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Frederik Rønnow,137692,1. FC Union Berlin,2547,7.13,0,0,0.0,0.23,0,0,0,0,781,66.81,1,262,40.43,0,0.0,0,0,25,392,2610,29,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Serge Gnabry,187433,FC Bayern München,2672,7.11,14,5,11.16,4.75,41,82,11,10,670,82.31,36,21,58.33,28,48.28,35,11,5,292,1939,34,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Manuel Neuer,8959,FC Bayern München,2672,7.11,0,0,0.23,0.01,1,2,0,0,367,86.97,0,71,58.2,0,0.0,0,0,8,56,1080,12,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Niklas Süle,168937,Borussia Dortmund,2673,7.11,2,3,2.21,1.59,7,33,3,1,1627,91.3,17,127,74.27,9,90.0,25,17,53,195,2131,29,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Michael Zetterer,190161,SV Werder Bremen,2534,7.1,0,0,0.0,0.01,0,0,0,0,30,62.5,0,17,48.57,0,0.0,0,0,1,18,151,2,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Rafał Gikiewicz,44938,FC Augsburg,2600,7.1,0,0,0.0,0.12,0,0,0,0,726,70.97,0,220,43.48,0,0.0,2,0,28,308,2070,23,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Matthias Ginter,142259,SC Freiburg,2538,7.1,4,1,1.94,1.52,12,21,0,1,1561,82.94,13,146,51.41,2,50.0,43,35,151,355,3060,34,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Donyell Malen,803039,Borussia Dortmund,2673,7.09,9,5,9.11,5.21,30,64,9,10,438,80.37,29,14,60.87,51,50.0,13,4,8,298,1725,26,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jeff Chabot,863271,1. FC Köln,2671,7.09,0,2,1.59,0.79,4,14,3,1,973,82.74,4,46,34.59,4,80.0,35,42,102,215,1806,21,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ramy Bensebaini,577726,Borussia M'gladbach,2527,7.08,6,1,5.32,2.65,15,41,4,1,964,77.74,15,55,35.48,12,42.86,34,36,90,403,2485,28,5,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Randal Kolo Muani,871706,Eintracht Frankfurt,2674,7.08,15,11,13.24,5.84,32,77,11,14,415,67.04,41,12,52.17,71,51.08,14,3,13,480,2646,32,4,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Kevin Stöger,95381,VfL Bochum 1848,2542,7.08,5,3,4.43,7.75,14,48,8,0,1050,74.1,69,94,47.0,22,51.16,84,26,19,597,2609,32,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Michael Gregoritsch,111483,SC Freiburg,2538,7.07,10,4,9.99,2.63,38,67,4,12,293,56.56,25,7,38.89,11,37.93,19,5,9,337,2170,30,6,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Gregor Kobel,556866,Borussia Dortmund,2673,7.07,0,0,0.0,0.08,0,0,0,0,750,81.08,0,154,47.53,1,100.0,0,0,13,179,2430,27,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Matthijs de Ligt,803031,FC Bayern München,2672,7.06,3,1,1.14,0.8,8,23,1,0,1895,91.33,6,99,62.66,0,0.0,32,23,80,205,2410,31,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Sébastien Haller,149731,Borussia Dortmund,2673,7.06,9,3,8.47,1.5,20,34,5,8,215,70.49,16,3,42.86,9,56.25,5,1,10,134,1232,19,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jamal Musiala,1010231,FC Bayern München,2672,7.05,12,10,8.02,5.38,26,65,11,7,845,85.35,53,15,51.72,77,55.0,34,19,3,377,2217,33,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Danilho Doekhi,830803,1. FC Union Berlin,2547,7.05,5,1,1.88,0.72,10,17,0,0,754,79.96,7,49,41.88,3,75.0,38,29,89,213,2218,25,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Dani Olmo,789071,RB Leipzig,36360,7.04,2,5,2.96,5.1,16,43,9,2,445,77.39,38,19,45.24,38,61.29,15,6,5,247,1287,23,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jonas Hector,124544,1. FC Köln,2671,7.04,0,2,1.8,4.31,5,25,2,0,1138,79.64,32,65,36.11,33,68.75,112,38,68,524,2825,32,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Paulo Otávio,552180,VfL Wolfsburg,2524,7.04,0,5,0.82,3.26,1,19,7,0,692,75.22,23,40,36.04,22,53.66,72,28,64,370,2050,25,7,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Exequiel Palacios,822600,Bayer 04 Leverkusen,2681,7.03,4,2,2.99,1.58,7,20,1,0,1013,85.41,15,33,52.38,10,66.67,59,33,25,230,1662,25,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Tomáš Koubek,124294,FC Augsburg,2600,7.03,0,0,0.0,0.05,0,0,0,0,301,65.15,0,99,38.37,0,0.0,0,0,11,161,990,11,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Emre Can,138156,Borussia Dortmund,2673,7.02,2,1,1.67,1.44,3,16,2,1,1145,89.73,20,71,66.98,13,65.0,57,25,37,169,1907,27,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Philipp Hofmann,340719,VfL Bochum 1848,2542,7.02,8,2,8.8,3.18,21,52,4,5,433,58.99,27,9,56.25,9,47.37,18,6,48,407,2642,34,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ludovic Ajorque,343971,1. FSV Mainz 05,2556,7.02,6,1,4.64,1.59,15,32,3,4,241,59.36,13,14,77.78,7,63.64,6,1,8,236,1219,17,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Mark Flekken,171919,SC Freiburg,2538,7.02,0,0,0.0,0.28,0,0,2,0,919,68.53,4,329,44.76,3,100.0,0,0,22,433,3060,34,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Marcus Thuram,791702,Borussia M'gladbach,2527,7.02,13,6,16.55,3.12,44,92,7,19,412,75.18,30,3,37.5,41,56.16,14,6,21,349,2516,30,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Mitchell Weiser,138150,SV Werder Bremen,2534,7.02,2,9,2.56,6.93,8,28,17,2,693,70.0,40,53,44.54,43,42.57,71,28,30,570,2520,30,7,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Ko Itakura,790989,Borussia M'gladbach,2527,7.01,0,2,0.62,0.64,4,11,0,0,1419,91.02,4,45,45.0,8,88.89,29,27,92,158,1982,24,1,2,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Angeliño,848355,TSG Hoffenheim,2569,7.0,0,9,1.08,7.72,4,21,16,0,730,68.16,51,78,37.86,13,54.17,40,25,52,589,2622,33,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Felix Nmecha,907463,VfL Wolfsburg,2524,7.0,3,5,2.75,1.58,9,37,6,4,530,76.7,20,36,52.94,26,66.67,41,25,30,241,1847,30,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Gabriel Vidović,1129940,FC Bayern München,2672,7.0,0,1,0.0,0.06,0,0,0,0,10,76.92,2,0,0.0,0,0.0,0,0,0,3,18,1,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Luca Pellegrini,826186,Eintracht Frankfurt,2674,7.0,0,0,0.57,0.87,2,14,1,0,213,72.7,8,22,44.9,11,47.83,13,7,11,169,558,9,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Felix Passlack,795000,Borussia Dortmund,2673,7.0,0,0,0.0,0.21,0,0,1,0,25,78.13,2,3,50.0,1,100.0,4,0,1,12,61,3,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Leon Goretzka,184661,FC Bayern München,2672,7.0,3,2,4.74,2.55,13,40,7,4,823,82.8,21,29,53.7,9,60.0,43,30,31,224,1741,27,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Christopher Trimmel,48557,1. FC Union Berlin,2547,7.0,0,6,0.73,3.18,3,14,3,1,423,66.82,35,31,27.43,8,61.54,31,25,45,417,1818,25,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Philipp Lienhart,576266,SC Freiburg,2538,6.99,1,0,1.4,0.52,3,17,0,1,1358,85.36,3,119,52.42,4,100.0,29,35,94,263,2498,29,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Josip Juranović,791642,1. FC Union Berlin,2547,6.99,2,1,1.61,1.73,2,7,1,1,213,69.38,22,17,38.64,7,63.64,9,6,19,188,933,12,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Wataru Endo,143040,VfB Stuttgart,2677,6.99,5,4,3.8,3.91,16,45,7,5,1164,79.67,46,83,58.45,28,58.33,70,26,60,435,2925,33,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Philipp Max,142672,Eintracht Frankfurt,2674,6.99,0,1,0.68,2.36,3,9,4,0,272,80.47,16,11,40.74,3,50.0,12,3,11,130,697,10,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Robin Knoche,130433,1. FC Union Berlin,2547,6.99,2,3,2.39,1.13,2,10,2,2,1324,81.28,5,148,48.05,11,91.67,45,38,137,334,2874,32,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Koen Casteels,70987,VfL Wolfsburg,2524,6.99,0,0,0.07,0.1,0,1,1,0,1038,74.09,1,364,50.98,0,0.0,0,1,21,365,3060,34,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Hiroki Itō,873106,VfB Stuttgart,2677,6.98,1,1,0.82,2.75,7,21,4,0,1642,82.97,20,183,50.41,5,45.45,40,40,84,427,2561,30,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Patrick Wimmer,987504,VfL Wolfsburg,2524,6.97,4,8,4.41,5.56,14,31,10,6,300,65.5,38,10,37.04,26,44.07,38,15,11,334,1664,26,7,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Robert Andrich,168903,Bayer 04 Leverkusen,2681,6.97,2,2,1.64,0.86,9,30,1,1,1211,83.86,18,53,48.62,5,83.33,61,42,53,262,2409,29,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Lars Stindl,23996,Borussia M'gladbach,2527,6.97,8,7,5.05,3.46,22,50,9,7,614,81.65,40,29,70.73,8,42.11,24,11,17,223,1743,29,9,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jae-sung Lee,537552,1. FSV Mainz 05,2556,6.96,7,4,4.3,3.61,17,35,4,3,551,74.36,27,22,39.29,25,80.65,38,17,15,299,1908,34,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,João Cancelo,138892,FC Bayern München,2672,6.96,1,4,0.67,2.8,4,12,5,1,621,85.07,13,34,52.31,34,56.67,23,15,15,209,1013,15,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Andrej Kramarić,67647,TSG Hoffenheim,2569,6.96,12,3,13.24,2.78,26,63,1,6,767,82.83,35,48,69.57,28,56.0,5,6,10,329,2393,32,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Lucas Höler,280009,SC Freiburg,2538,6.96,5,2,3.27,1.98,15,30,2,3,311,66.31,13,7,43.75,11,61.11,19,10,17,220,1514,26,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jonas Omlin,571622,Borussia M'gladbach,2527,6.95,0,0,0.0,0.02,0,0,1,0,521,78.46,2,90,39.82,0,0.0,1,0,14,144,1291,15,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Kevin Behrens,164171,1. FC Union Berlin,2547,6.95,8,1,4.8,1.58,14,35,0,3,279,59.62,21,9,69.23,12,60.0,11,5,24,274,1544,33,6,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Alphonso Davies,843665,FC Bayern München,2672,6.95,1,4,1.68,4.34,8,19,2,3,1203,87.24,44,37,52.86,70,56.0,45,24,18,345,2047,26,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Tom Alexander Rothe,1210666,Borussia Dortmund,2673,6.95,0,0,0.07,0.0,0,1,0,0,13,92.86,0,1,50.0,1,100.0,1,1,2,3,24,2,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Kerem Demirbay,142619,Bayer 04 Leverkusen,2681,6.94,4,3,2.25,4.0,6,31,5,1,798,82.52,32,42,49.41,8,40.0,36,16,10,301,1551,25,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Joško Gvardiol,964994,RB Leipzig,36360,6.94,1,0,1.85,0.95,4,14,0,1,1909,89.29,12,145,59.67,16,88.89,24,34,70,253,2178,30,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Karim Onisiwo,165413,1. FSV Mainz 05,2556,6.94,10,2,8.25,4.15,32,68,6,4,325,60.07,33,5,33.33,37,40.22,19,2,6,487,2544,31,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Marc Kempf,226974,Hertha BSC,2528,6.94,1,0,1.63,0.87,5,16,2,3,1011,78.01,9,68,41.72,11,73.33,44,51,139,316,2712,31,5,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jeremie Frimpong,970361,Bayer 04 Leverkusen,2681,6.94,8,7,7.64,6.33,19,38,5,9,759,81.18,45,17,43.59,85,62.5,53,16,31,451,2717,34,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Konrad Laimer,355492,RB Leipzig,36360,6.93,3,0,2.4,1.65,10,20,4,4,585,80.47,16,26,43.33,32,64.0,60,18,7,235,1472,21,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Anton Stach,889861,1. FSV Mainz 05,2556,6.93,1,4,2.19,4.04,10,36,5,2,596,72.24,31,29,47.54,25,54.35,27,41,24,363,2076,30,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Daichi Kamada,794338,Eintracht Frankfurt,2674,6.93,9,6,9.87,3.53,15,44,4,9,991,83.35,34,49,55.68,15,44.12,51,16,17,318,2270,32,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Sadio Mané,217704,FC Bayern München,2672,6.93,7,5,9.03,3.65,22,55,9,15,295,76.42,25,6,54.55,24,48.98,11,0,3,213,1441,25,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Marius Wolf,254119,Borussia Dortmund,2673,6.93,1,1,1.16,3.22,6,23,6,1,681,80.02,23,52,60.47,34,60.71,25,18,19,290,1584,25,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Lukas Kübler,142525,SC Freiburg,2538,6.93,2,1,0.93,0.7,5,9,0,1,474,70.12,7,40,37.04,5,62.5,37,29,47,277,1645,22,1,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Abdou Diallo,280435,RB Leipzig,36360,6.93,1,0,0.39,0.3,1,4,0,0,321,85.15,1,25,54.35,3,75.0,6,8,20,68,487,8,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Hrvoje Smolčić,974582,Eintracht Frankfurt,2674,6.93,0,0,0.17,0.05,0,3,0,0,286,80.79,0,15,40.54,2,100.0,8,5,36,72,472,9,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Jan Olschowsky,972510,Borussia M'gladbach,2527,6.93,0,0,0.0,0.0,0,0,0,0,106,79.1,0,16,36.36,0,0.0,0,0,2,28,360,4,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Aurélio Buta,357752,Eintracht Frankfurt,2674,6.92,3,2,0.6,2.26,4,9,6,0,418,77.84,18,15,40.54,10,45.45,33,10,31,238,1321,18,3,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Noussair Mazraoui,847030,FC Bayern München,2672,6.92,1,4,1.11,1.7,2,8,6,0,643,86.89,19,10,35.71,18,75.0,29,10,21,153,1073,19,0,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Marcel Sabitzer,133908,FC Bayern München,2672,6.92,1,1,1.07,0.6,5,15,0,0,398,87.67,6,12,52.17,1,33.33,27,10,9,76,625,15,2,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Christoph Baumgartner,825956,TSG Hoffenheim,2569,6.92,7,3,7.09,4.34,20,66,5,5,578,68.32,24,33,51.56,54,53.47,36,15,18,475,2585,33,7,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Serhou Guirassy,328027,VfB Stuttgart,2677,6.92,11,0,11.01,1.02,21,49,3,10,326,74.26,19,8,50.0,14,51.85,4,0,14,207,1656,22,2,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Mergim Berisha,770083,FC Augsburg,2600,6.92,9,4,8.13,2.84,16,55,6,5,142,53.99,20,6,33.33,5,20.0,11,0,18,272,1689,23,7,1,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Timo Hübers,387220,1. FC Köln,2671,6.91,3,0,1.79,0.56,7,15,0,1,1395,82.4,2,93,40.97,6,100.0,43,58,149,314,2558,29,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Anthony Caci,846471,1. FSV Mainz 05,2556,6.91,2,1,0.63,2.29,4,10,5,0,677,74.23,21,99,51.83,9,45.0,58,54,38,359,2053,31,4,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Dodi Lukebakio,823631,Hertha BSC,2528,6.91,11,3,8.64,4.76,27,64,6,6,402,73.9,29,28,80.0,67,51.15,18,13,15,399,2405,32,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
35,42268,Benjamin Henrichs,319857,RB Leipzig,36360,6.91,2,2,1.23,3.45,4,31,2,0,1018,78.19,20,48,36.36,20,60.61,73,35,38,404,2186,30,8,0,GER,2022-2023,datafc_sofascore,2026-08-12 07:00:28
