league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_Gls,Performance_Ast,Performance_G+A,Performance_G-PK,Performance_PK,Performance_PKatt,Performance_CrdY,Performance_CrdR,Per 90 Minutes_Gls,Per 90 Minutes_Ast,Per 90 Minutes_G+A,Per 90 Minutes_G-PK,Per 90 Minutes_G+A-PK,_league_id,_season,_stat_type,_source,_scraped_at
FRA-Ligue 1,2324,Lens,Facundo Medina,ARG,DF,24,1999,31,30,2714,30.2,1,3,4,1,0,0,11,0,0.03,0.1,0.13,0.03,0.13,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Faitout Maouassa,FRA,MF,25,1998,3,1,76,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Florian Sotoca,FRA,"MF,FW",32,1990,32,29,2598,28.9,7,6,13,3,4,4,4,1,0.24,0.21,0.45,0.1,0.31,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Jean-Louis Leca,FRA,GK,37,1985,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Jhoanner Chávez,ECU,"MF,DF",21,2002,8,6,481,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Jonathan Gradit,FRA,DF,30,1992,26,26,2112,23.5,1,0,1,1,0,0,9,1,0.04,0.0,0.04,0.04,0.04,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Julien Le Cardinal,FRA,DF,25,1997,2,0,58,0.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Kevin Danso,AUT,DF,24,1998,30,30,2655,29.5,1,0,1,1,0,0,6,0,0.03,0.0,0.03,0.03,0.03,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Massadio Haïdara,MLI,"DF,MF",30,1992,18,7,741,8.2,0,1,1,0,0,0,1,0,0.0,0.12,0.12,0.0,0.12,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Morgan Guilavogui,GUI,FW,25,1998,23,2,566,6.3,2,0,2,2,0,0,1,0,0.32,0.0,0.32,0.32,0.32,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Nampalys Mendy,SEN,MF,31,1992,16,13,1052,11.7,0,1,1,0,0,0,2,0,0.0,0.09,0.09,0.0,0.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Neil El Aynaoui,MAR,MF,22,2001,25,17,1566,17.4,1,2,3,1,0,0,1,0,0.06,0.11,0.17,0.06,0.17,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Oscar Cortés,COL,MF,19,2003,4,0,44,0.5,1,1,2,1,0,0,0,0,2.05,2.05,4.09,2.05,4.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Przemysław Frankowski,POL,MF,28,1995,30,24,2192,24.4,3,2,5,2,1,2,4,0,0.12,0.08,0.21,0.08,0.16,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Ruben Aguilar,FRA,"MF,DF",30,1993,25,22,1922,21.4,1,3,4,1,0,0,3,0,0.05,0.14,0.19,0.05,0.19,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Salis Abdul Samed,GHA,MF,23,2000,27,17,1519,16.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Stijn Spierings,NED,MF,27,1996,4,1,118,1.3,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lens,Wesley Saïd,FRA,FW,28,1995,27,11,1020,11.3,7,1,8,7,0,0,1,0,0.62,0.09,0.71,0.62,0.71,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Aaron Malouda,FRA,FW,17,2005,1,0,1,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Adam Ounas,ALG,MF,26,1996,17,3,418,4.6,1,0,1,1,0,0,0,0,0.22,0.0,0.22,0.22,0.22,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Alan Virginius,FRA,MF,20,2003,2,1,71,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Alexsandro Ribeiro,BRA,DF,23,1999,29,24,2220,24.7,0,0,0,0,0,0,6,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Andrej Ilic,SRB,FW,23,2000,2,0,9,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Angel Gomes,ENG,MF,22,2000,31,29,2571,28.6,0,8,8,0,0,0,5,0,0.0,0.28,0.28,0.0,0.28,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Ayyoub Bouaddi,MAR,MF,15,2007,9,1,131,1.5,0,0,0,0,0,0,3,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Bafodé Diakité,FRA,DF,22,2001,21,19,1696,18.8,5,2,7,5,0,0,4,0,0.27,0.11,0.37,0.27,0.37,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Benjamin André,FRA,MF,32,1990,30,29,2570,28.6,4,0,4,4,0,0,8,0,0.14,0.0,0.14,0.14,0.14,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Carlos Baleba,CMR,MF,19,2004,2,1,61,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Edon Zhegrova,KVX,"MF,FW",24,1999,33,25,2288,25.4,6,6,12,6,0,0,3,1,0.24,0.24,0.47,0.24,0.47,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Gabriel Gudmundsson,SWE,"MF,DF",24,1999,25,14,1267,14.1,1,0,1,1,0,0,2,0,0.07,0.0,0.07,0.07,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Hákon Haraldsson,ISL,"MF,FW",20,2003,26,15,1284,14.3,2,0,2,2,0,0,5,0,0.14,0.0,0.14,0.14,0.14,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Ichem Ferrah,FRA,FW,17,2005,1,0,3,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Ignacio Miramon,ARG,MF,20,2003,2,1,39,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Ismaily,BRA,DF,33,1990,30,28,2465,27.4,1,1,2,1,0,0,1,0,0.04,0.04,0.07,0.04,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Ivan Cavaleiro,POR,"MF,FW",29,1993,17,9,770,8.6,1,1,2,1,0,0,1,0,0.12,0.12,0.23,0.12,0.23,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Jonathan David,CAN,FW,23,2000,34,30,2629,29.2,19,4,23,17,2,3,4,0,0.65,0.14,0.79,0.58,0.72,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Leny Yoro,FRA,DF,17,2005,32,30,2673,29.7,2,0,2,2,0,0,5,0,0.07,0.0,0.07,0.07,0.07,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Lucas Chevalier,FRA,GK,21,2001,33,33,2969,33.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Nabil Bentaleb,ALG,MF,28,1994,26,23,1967,21.9,0,3,3,0,0,0,7,0,0.0,0.14,0.14,0.0,0.14,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Rémy Cabella,FRA,"MF,FW",33,1990,30,14,1477,16.4,2,2,4,2,0,0,0,0,0.12,0.12,0.24,0.12,0.24,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Samuel Umtiti,FRA,DF,29,1993,6,2,185,2.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Tiago Fonseca Morais,POR,"FW,MF",19,2003,3,0,46,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Tiago Santos,POR,DF,21,2002,29,26,2365,26.3,1,2,3,1,0,0,6,0,0.04,0.08,0.11,0.04,0.11,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Trévis Dago,CIV,FW,18,2005,4,0,23,0.3,0,1,1,0,0,0,1,0,0.0,3.91,3.91,0.0,3.91,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Vito Mannone,ITA,GK,35,1988,2,1,91,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lille,Yusuf Yazıcı,TUR,"MF,FW",26,1997,27,16,1312,14.6,5,2,7,5,0,0,5,0,0.34,0.14,0.48,0.34,0.48,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Adrian Grbić,AUT,"FW,MF",26,1996,1,0,31,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Aurélien Pelon,FRA,DF,19,2004,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Ayman Kari,FRA,MF,18,2004,14,12,893,9.9,1,1,2,1,0,0,1,0,0.1,0.1,0.2,0.1,0.2,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Badredine Bouanani,ALG,MF,18,2004,11,4,443,4.9,1,0,1,1,0,0,0,0,0.2,0.0,0.2,0.2,0.2,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Bamba Dieng,SEN,FW,23,2000,16,5,549,6.1,4,1,5,4,0,0,3,0,0.66,0.16,0.82,0.66,0.82,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Bamo Meïté,CIV,DF,21,2001,2,2,146,1.6,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Bassirou Ndiaye,SEN,FW,21,2002,5,0,152,1.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Benjamin Mendy,FRA,"MF,DF",29,1994,15,7,711,7.9,2,1,3,2,0,0,3,0,0.25,0.13,0.38,0.25,0.38,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Bonke Innocent,NGA,MF,27,1996,4,3,210,2.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Darlin Yongwa,CMR,"MF,DF",22,2000,22,11,1159,12.9,1,1,2,1,0,0,3,0,0.08,0.08,0.16,0.08,0.16,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Dembo Sylla,GUI,"DF,MF",20,2002,1,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Eli Junior Kroupi,FRA,FW,17,2006,30,11,1084,12.0,5,3,8,5,0,0,1,0,0.42,0.25,0.66,0.42,0.66,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Formose Mendy,SEN,DF,22,2001,18,13,1256,14.0,0,0,0,0,0,0,6,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Gino Caoki,FRA,FW,19,2004,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Gédéon Kalulu,COD,"MF,DF",25,1997,19,11,970,10.8,0,1,1,0,0,0,0,0,0.0,0.09,0.09,0.0,0.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Ibrahima Koné,MLI,FW,24,1999,1,0,32,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Igor Carioca,BRA,"MF,DF",26,1996,5,2,262,2.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Imran Louza,MAR,MF,24,1999,14,10,863,9.6,1,3,4,1,0,0,1,0,0.1,0.31,0.42,0.1,0.42,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Jean-Victor Makengo,FRA,"MF,FW",25,1998,11,5,479,5.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Joel Mvuka,NOR,MF,20,2002,7,2,197,2.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Julien Laporte,FRA,DF,29,1993,23,20,1818,20.2,0,0,0,0,0,0,4,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Julien Ponceau,FRA,MF,22,2000,32,27,2244,24.9,3,2,5,3,0,0,5,0,0.12,0.08,0.2,0.12,0.2,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Laurent Abergel,FRA,MF,30,1993,33,32,2860,31.8,2,1,3,2,0,0,4,0,0.06,0.03,0.09,0.06,0.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Loris Mouyokolo,FRA,DF,22,2001,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Mohamed Bamba,CIV,FW,21,2001,16,14,1138,12.6,8,3,11,7,1,1,3,0,0.63,0.24,0.87,0.55,0.79,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Montassar Talbi,TUN,DF,25,1998,25,25,2204,24.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Nathaniel Adjei,GHA,DF,20,2002,15,14,1243,13.8,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Pablo Pagis,FRA,MF,20,2002,3,3,165,1.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Panos Katseris,GRE,MF,22,2001,15,13,1041,11.6,1,1,2,1,0,0,4,0,0.09,0.09,0.17,0.09,0.17,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Romain Faivre,FRA,MF,25,1998,17,16,1453,16.1,5,1,6,5,0,0,1,0,0.31,0.06,0.37,0.31,0.37,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Royce Openda,GAB,FW,21,2002,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Siriné Doucouré,MLI,FW,21,2002,11,5,423,4.7,1,3,4,1,0,0,2,0,0.21,0.64,0.85,0.21,0.85,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Souleymane Touré,FRA,DF,20,2003,24,23,2051,22.8,1,1,2,1,0,0,6,0,0.04,0.04,0.09,0.04,0.09,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Théo Le Bris,FRA,MF,20,2002,26,15,1516,16.8,0,2,2,0,0,0,2,0,0.0,0.12,0.12,0.0,0.12,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Tiemoué Bakayoko,FRA,MF,28,1994,20,15,1314,14.6,2,1,3,2,0,0,5,0,0.14,0.07,0.21,0.14,0.21,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Tosin Aiyegun,BEN,"MF,FW",25,1998,19,10,902,10.0,2,0,2,2,0,0,0,1,0.2,0.0,0.2,0.2,0.2,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Vincent Le Goff,FRA,"MF,DF",33,1989,9,8,541,6.0,1,1,2,1,0,0,1,0,0.17,0.17,0.33,0.17,0.33,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lorient,Yvon Mvogo,SUI,GK,29,1994,34,34,3060,34.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Adryelson,BRA,DF,25,1998,2,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Ainsley Maitland-Niles,ENG,"DF,MF",25,1997,23,16,1432,15.9,1,4,5,0,1,1,1,1,0.06,0.25,0.31,0.0,0.25,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Alexandre Lacazette,FRA,FW,32,1991,29,27,2293,25.5,19,2,21,17,2,2,3,1,0.75,0.08,0.82,0.67,0.75,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Amin Sarr,SWE,FW,22,2001,3,1,98,1.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Anthony Lopes,POR,GK,32,1990,31,31,2790,31.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Bradley Barcola,FRA,MF,20,2002,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Chaim El Djebali,TUN,MF,19,2004,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Clinton Mata,ANG,"DF,MF",30,1992,28,25,2220,24.7,0,3,3,0,0,0,6,0,0.0,0.12,0.12,0.0,0.12,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Corentin Tolisso,FRA,MF,28,1994,25,21,1741,19.3,3,1,4,2,1,1,5,0,0.16,0.05,0.21,0.1,0.16,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Dejan Lovren,CRO,DF,34,1989,10,8,718,8.0,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Diego Moreira,BEL,MF,18,2004,7,4,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Duje Ćaleta-Car,CRO,DF,26,1996,24,22,1993,22.1,0,0,0,0,0,0,2,1,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Ernest Nuamah,GHA,"FW,MF",19,2003,29,21,1838,20.4,3,2,5,3,0,0,4,0,0.15,0.1,0.24,0.15,0.24,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Gift Orban,NGA,FW,21,2002,13,5,474,5.3,1,0,1,1,0,0,2,0,0.19,0.0,0.19,0.19,0.19,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Henrique,BRA,"DF,MF",29,1994,11,6,607,6.7,1,0,1,1,0,0,2,0,0.15,0.0,0.15,0.15,0.15,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Jake O'Brien,IRL,DF,22,2001,27,27,2369,26.3,4,2,6,4,0,0,4,1,0.15,0.08,0.23,0.15,0.23,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Jeffinho,BRA,"MF,FW",23,1999,10,3,308,3.4,1,1,2,1,0,0,0,0,0.29,0.29,0.58,0.29,0.58,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Johann Lepenant,FRA,MF,20,2002,6,2,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Mahamadou Diawara,FRA,MF,18,2005,11,4,358,4.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Malick Fofana,BEL,"FW,MF",18,2005,17,4,559,6.2,3,0,3,3,0,0,0,0,0.48,0.0,0.48,0.48,0.48,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Mama Samba Baldé,GNB,FW,27,1995,20,4,551,6.1,2,3,5,2,0,0,1,0,0.33,0.49,0.82,0.33,0.82,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Mamadou Sarr,SEN,DF,17,2005,1,0,8,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Maxence Caqueret,FRA,MF,23,2000,34,34,3022,33.6,1,3,4,1,0,0,1,0,0.03,0.09,0.12,0.03,0.12,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Mohamed El Arouch,FRA,MF,19,2004,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Nemanja Matić,SRB,MF,34,1988,15,15,1254,13.9,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0.0,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Nicolás Tagliafico,ARG,"DF,MF",30,1992,25,25,2123,23.6,3,1,4,3,0,0,7,1,0.13,0.04,0.17,0.13,0.17,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
FRA-Ligue 1,2324,Lyon,Orel Mangala,BEL,MF,25,1998,8,4,398,4.4,2,0,2,2,0,0,0,0,0.45,0.0,0.45,0.45,0.45,FRA,2023-2024,standard,fbref_soccerdata,2026-08-10 22:00:23
