league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
ITA-Serie A,2324,Atalanta,Francesco Rossi,ITA,GK,32,1991,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,1,,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Atalanta,Juan Musso,ARG,GK,29,1994,11,11,990,11.0,12,1.09,35,23,65.7,6,1,4,6,54.5,2,2,0,0,0.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Atalanta,Marco Carnesecchi,ITA,GK,23,2000,27,27,2425,26.9,30,1.11,101,76,70.3,15,5,7,8,29.6,7,4,2,1,33.3,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Bologna,Federico Ravaglia,ITA,GK,23,1999,6,6,535,5.9,3,0.5,16,13,81.3,4,1,1,4,66.7,1,0,1,0,100.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Bologna,Nicola Bagnolini,ITA,GK,19,2004,1,0,5,0.1,0,0.0,1,1,100.0,0,0,0,0,,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Bologna,Łukasz Skorupski,POL,GK,32,1991,32,32,2880,32.0,29,0.91,105,79,72.4,14,13,5,12,37.5,6,3,1,2,25.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Cagliari,Boris Radunović,SRB,GK,27,1996,7,7,630,7.0,12,1.71,28,16,57.1,0,2,5,2,28.6,1,0,0,1,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Cagliari,Simone Aresti,ITA,GK,37,1986,1,0,1,0.0,1,90.0,1,0,0.0,0,0,0,0,,1,1,0,0,0.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Cagliari,Simone Scuffet,ITA,GK,27,1996,31,31,2789,31.0,55,1.77,134,79,59.0,8,10,13,3,9.7,3,3,0,0,0.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Empoli,Elia Caprile,ITA,GK,21,2001,23,23,2070,23.0,27,1.17,106,79,74.5,6,6,11,4,17.4,5,4,1,0,20.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Empoli,Etrit Berisha,ALB,GK,34,1989,14,14,1260,14.0,25,1.79,74,49,66.2,3,3,8,4,28.6,3,2,1,0,33.3,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Empoli,Samuele Perisan,ITA,GK,25,1997,1,1,90,1.0,2,2.0,5,3,60.0,0,0,1,0,0.0,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Fiorentina,Oliver Christensen,DEN,GK,24,1999,4,4,360,4.0,9,2.25,19,10,52.6,1,1,2,0,0.0,2,2,0,0,0.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Fiorentina,Pietro Terracciano,ITA,GK,33,1990,33,33,2970,33.0,35,1.06,126,91,72.2,15,8,10,8,24.2,7,6,1,0,14.3,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Fiorentina,Tommaso Martinelli,ITA,GK,17,2006,1,1,90,1.0,2,2.0,3,1,33.3,1,0,0,0,0.0,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Frosinone,Michele Cerofolini,ITA,GK,24,1999,8,7,675,7.5,11,1.47,29,18,62.1,2,2,3,0,0.0,1,0,0,1,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Frosinone,Stefano Turati,ITA,GK,21,2001,31,31,2745,30.5,58,1.9,155,97,62.6,6,9,16,4,12.9,7,5,1,1,16.7,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Genoa,Daniele Sommariva,ITA,GK,26,1997,1,0,5,0.1,0,0.0,0,0,,0,0,0,1,,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Genoa,Josep Martinez,ESP,GK,25,1998,36,36,3239,36.0,43,1.19,130,87,66.9,11,13,12,8,22.2,4,3,1,0,25.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Genoa,Nicola Leali,ITA,GK,30,1993,3,2,176,2.0,2,1.02,9,7,77.8,1,0,1,1,50.0,0,0,0,0,,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
ITA-Serie A,2324,Hellas Verona,Lorenzo Montipò,ITA,GK,27,1996,37,37,3330,37.0,49,1.32,153,105,68.0,9,10,18,8,21.6,2,2,0,0,0.0,ITA,2023-2024,keeper,fbref_soccerdata,2026-08-10 21:56:52
