league,season,team,player,nation,pos,age,born,Playing Time_MP,Playing Time_Starts,Playing Time_Min,Playing Time_90s,Performance_GA,Performance_GA90,Performance_SoTA,Performance_Saves,Performance_Save%,Performance_W,Performance_D,Performance_L,Performance_CS,Performance_CS%,Penalty Kicks_PKatt,Penalty Kicks_PKA,Penalty Kicks_PKsv,Penalty Kicks_PKm,Penalty Kicks_Save%,_league_id,_season,_stat_type,_source,_scraped_at
ENG-Premier League,2425,Arsenal,David Raya,ESP,GK,28,1995,38,38,3420,38.0,34,0.89,120,86,71.7,20,14,4,13,34.2,3,3,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Aston Villa,Emiliano Martínez,ARG,GK,31,1992,37,37,3194,35.5,47,1.32,146,99,67.8,18,9,10,8,21.6,2,1,1,0,50.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Aston Villa,Robin Olsen,SWE,GK,34,1990,4,1,226,2.5,6,2.39,14,8,57.1,1,0,0,1,100.0,1,1,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Bournemouth,Kepa Arrizabalaga,ESP,GK,29,1994,31,31,2790,31.0,39,1.26,136,97,71.3,13,7,11,8,25.8,4,4,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Bournemouth,Mark Travers,IRL,GK,25,1999,5,5,450,5.0,5,1.0,25,20,80.0,2,2,1,1,20.0,0,0,0,0,,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Bournemouth,Neto,BRA,GK,35,1989,2,2,180,2.0,2,1.0,13,11,84.6,0,2,0,0,0.0,0,0,0,0,,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Brentford,Hákon Valdimarsson,ISL,GK,22,2001,2,1,145,1.6,2,1.24,5,3,60.0,0,0,1,1,100.0,0,0,0,0,,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Brentford,Mark Flekken,NED,GK,31,1993,37,37,3275,36.4,55,1.51,207,152,73.4,16,8,13,8,21.6,1,1,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Brighton,Bart Verbruggen,NED,GK,21,2002,36,36,3240,36.0,58,1.61,140,89,58.6,14,13,9,7,19.4,9,9,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Brighton,Jason Steele,ENG,GK,33,1990,2,2,180,2.0,1,0.5,4,3,75.0,2,0,0,1,50.0,0,0,0,0,,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Chelsea,Filip Jørgensen,DEN,GK,22,2002,6,6,540,6.0,9,1.5,29,20,69.0,3,0,3,1,16.7,1,1,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Chelsea,Robert Sánchez,ESP,GK,26,1997,32,32,2880,32.0,34,1.06,128,94,73.4,17,9,6,10,31.3,5,4,1,0,20.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Crystal Palace,Dean Henderson,ENG,GK,27,1997,38,38,3420,38.0,51,1.34,152,102,66.4,13,14,11,11,28.9,2,1,1,0,50.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Everton,Jordan Pickford,ENG,GK,30,1994,38,38,3420,38.0,44,1.16,163,119,73.0,11,15,12,12,31.6,2,0,2,0,100.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Fulham,Bernd Leno,GER,GK,32,1992,38,38,3420,38.0,54,1.42,158,107,65.8,15,9,14,5,13.2,4,3,1,0,25.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Ipswich Town,Alex Palmer,ENG,GK,27,1996,13,13,1170,13.0,30,2.31,75,45,60.0,1,3,9,0,0.0,1,1,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Ipswich Town,Arijanet Muric,KVX,GK,25,1998,18,18,1620,18.0,33,1.83,103,70,68.0,2,6,10,1,5.6,3,3,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Ipswich Town,Christian Walton,ENG,GK,28,1995,7,7,630,7.0,19,2.71,39,20,51.3,1,1,5,1,14.3,2,2,0,0,0.0,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
ENG-Premier League,2425,Leicester City,Danny Ward,WAL,GK,31,1993,2,1,135,1.5,6,4.0,10,4,40.0,0,0,1,0,0.0,0,0,0,0,,ENG,2024-2025,keeper,fbref_soccerdata,2026-08-10 21:43:01
